Symbol,Direction,Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Reason,Balance,Risk_Dollars,R_Multiple,Streak_Len_Exit,Risk_At_Entry,Entry_Trend_Regime,Entry_Vol_Regime,Entry_Hour,Entry_DayOfWeek,Entry_Prob_Up,Entry_Prob_Down,Entry_Prob_Margin,Entry_Prob_Entropy,Entry_Mom_Rank,Entry_Vol_Rank,Entry_Vol_Intensity,Entry_Asset_DD
ETH-USD,SHORT,2024-06-20 04:00:00+00:00,2024-06-20 11:00:00+00:00,3569.213134765625,3618.374180385045,6.102392579735808,-300.003051196291,SL,99699.9969488037,300.00000000000114,-1.0000101706542994,-1,300.0,RANGE,LOW,4,3,0.35493398,0.4660006,0.0,0.0,0.9666666666666667,1.0,-0.48769837375083436,-0.07315370239653163
BTC-USD,SHORT,2024-06-20 13:00:00+00:00,2024-06-21 08:00:00+00:00,65174.91796875,64032.638671875,0.5236897695067684,598.1997198479374,TP,100298.19666865164,299.0999908464111,1.9999991245573627,1,299.0999908464111,RANGE,NORMAL,13,3,0.42291886,0.47097546,0.0,0.0,0.3,0.9333333333333333,-0.20079239661413156,-0.09008903230000398
RTY=F,LONG,2024-06-21 08:00:00+00:00,2024-06-23 23:00:00+00:00,2041.199951171875,2044.5,3.2706536815040774,10.791681522009496,TimeExit,100308.98835017365,150.7535419108478,0.07158492852122474,2,301.50708382169626,RANGE,HIGH,8,4,0.4352335,0.39998376,0.0,0.0,0.3,0.9,1.0671771456440509,-0.022460679225587477
NG=F,SHORT,2024-06-23 23:00:00+00:00,2024-06-24 14:00:00+00:00,2.680000066757202,2.7379643661635265,5191.591601013455,-303.5227657570092,SL,100005.46558441664,300.9269699565025,-1.0086259991946946,-1,300.92696995650147,BEAR,NORMAL,23,6,0.39587528,0.39903334,0.0,0.0,0.03333333333333333,1.0,0.8870296038492941,-0.15028534258685666
NG=F,LONG,2024-06-24 14:00:00+00:00,2024-06-25 10:00:00+00:00,2.74399995803833,2.8419285331453596,6125.488517086955,596.7976180542536,TP,100602.26320247089,299.93018115639717,1.989788475948862,1,299.9301811563983,BEAR,NORMAL,14,0,0.46792936,0.45482886,0.0,0.0,0.1,1.0,0.7044166300797821,-0.12999368425110758
ETH-USD,SHORT,2024-06-25 10:00:00+00:00,2024-06-25 15:00:00+00:00,3377.223388671875,3414.8721749441966,8.01030861512334,-301.5824021804222,SL,100300.68080029046,301.57839702611466,-1.000013280640613,-1,301.57839702611363,RANGE,NORMAL,10,1,0.4036767,0.42711505,0.0,0.0,0.9666666666666667,0.9666666666666667,-0.4750089876048143,-0.08047298141683046
NG=F,LONG,2024-06-25 16:00:00+00:00,2024-06-25 17:00:00+00:00,2.7790000438690186,2.7436429347310747,8510.368911296413,-305.1572268565201,SL,99995.52357343394,300.9020424008719,-1.0141414276277303,-2,300.9020424008714,RANGE,LOW,16,1,0.42446178,0.448809,0.0,0.0,0.9333333333333333,0.9333333333333333,-0.878497487832728,-0.11889663753459767
NG=F,SHORT,2024-06-25 17:00:00+00:00,2024-06-25 22:00:00+00:00,2.747999906539917,2.669999991144453,7695.15128482841,596.3735735294981,TP,100591.89714696344,300.11057458595786,1.9871794732733898,1,300.1105745859569,RANGE,LOW,17,1,0.41984293,0.4587191,0.0,0.0,0.06666666666666667,0.9333333333333333,-0.7400780296269556,-0.1287254697787069
NG=F,SHORT,2024-06-25 22:00:00+00:00,2024-06-27 07:00:00+00:00,2.7300000190734863,2.750999927520752,4962.396267670123,-106.69106543396029,TimeExit,100485.20608152948,300.40210629179313,-0.3551608434140831,-1,300.40210629179404,RANGE,NORMAL,22,1,0.47280467,0.4385541,0.0,0.0,0.03333333333333333,1.0,-0.30991990045585416,-0.13443247270073289
NG=F,LONG,2024-06-27 07:00:00+00:00,2024-06-27 12:00:00+00:00,2.750999927520752,2.705678539616721,3325.8366058575343,-152.39444922242416,SL,100332.81163230706,150.73153091949538,-1.0110323188040657,-2,301.4630618389899,BEAR,HIGH,7,3,0.45984665,0.32774517,0.0,0.0,0.23333333333333334,1.0,3.271059855212556,-0.11713736101080297
BTC-USD,SHORT,2024-06-27 12:00:00+00:00,2024-06-27 13:00:00+00:00,61265.69921875,61746.87946428572,0.6264920911476067,-301.45593149063603,SL,100031.35570081642,301.4556182445905,-1.0000010391116523,-3,301.45561824458844,RANGE,LOW,12,3,0.42050174,0.46827003,0.0,0.0,0.03333333333333333,0.9333333333333333,-1.0550688858778339,-0.12388278991489987
NG=F,LONG,2024-06-27 13:00:00+00:00,2024-06-28 14:00:00+00:00,2.7119998931884766,2.6518927897725786,2494.8011476648367,-151.2026711586237,SL,99880.1530296578,149.9552705847913,-1.0083184843651565,-4,299.9105411695823,RANGE,HIGH,13,3,0.44719905,0.43316257,0.0,0.0,0.36666666666666664,1.0,3.1142192566629507,-0.12685127500977167
NG=F,LONG,2024-06-28 14:00:00+00:00,2024-06-28 17:00:00+00:00,2.6389999389648438,2.6053570423807417,8903.743030713664,-303.9995775090758,SL,99576.15345214872,299.5477059937189,-1.014861978330257,-5,299.5477059937195,BEAR,NORMAL,14,4,0.47942874,0.43482834,0.0,0.0,0.03333333333333333,1.0,0.04504839425278838,-0.14345996034405017
NG=F,SHORT,2024-06-28 17:00:00+00:00,2024-06-30 23:00:00+00:00,2.5999999046325684,2.5959999561309814,7698.673042760526,26.94495918021727,TimeExit,99603.09841132893,298.59872023732356,0.0902380263344788,1,298.5987202373226,BEAR,NORMAL,17,4,0.46556532,0.41816688,0.0,0.0,0.03333333333333333,1.0,-0.03928305254309718,-0.14276297026944684
NG=F,SHORT,2024-06-30 23:00:00+00:00,2024-07-01 14:00:00+00:00,2.5959999561309814,2.513714075088501,7262.991887740335,594.0101905432317,TP,100197.10860187217,298.82084324355094,1.9878472468504804,2,298.82084324355094,BEAR,NORMAL,23,6,0.41261652,0.42735827,0.0,0.0,0.03333333333333333,0.9666666666666667,-0.0516019823695578,-0.12798120329384433
NG=F,SHORT,2024-07-01 14:00:00+00:00,2024-07-02 10:00:00+00:00,2.50600004196167,2.44642858845847,10097.799650208552,596.4917025219229,TP,100793.60030439409,300.7703011735158,1.983213436282075,3,300.7703011735139,BEAR,LOW,14,0,0.44494015,0.4715042,0.0,0.0,0.03333333333333333,0.9333333333333333,-0.8544460765130258,-0.15821295143861225
NG=F,SHORT,2024-07-02 10:00:00+00:00,2024-07-02 14:00:00+00:00,2.4600000381469727,2.42464280128479,17081.924328532714,595.4286823815445,TP,101389.02898677564,301.98482227290543,1.9717172469133304,4,301.98482227290543,BEAR,LOW,10,1,0.414775,0.40267137,0.0,0.0,0.03333333333333333,1.0,-0.7079043933425802,-0.15983604488327507
NG=F,SHORT,2024-07-02 14:00:00+00:00,2024-07-02 19:00:00+00:00,2.428999900817871,2.4564285022871837,11082.206551922021,-309.51053018923494,SL,101079.5184565864,303.96942691327394,-1.0182291467014608,-1,303.9694269132718,BEAR,LOW,14,1,0.3957648,0.46331462,0.0,0.0,0.03333333333333333,1.0,-1.0317994664723438,-0.1704235235758358
BTC-USD,LONG,2024-07-02 19:00:00+00:00,2024-07-03 01:00:00+00:00,61887.84765625,61437.982421875,0.6742078536246575,-303.3030111922491,SL,100776.21544539415,303.30267408832225,-1.0000011114439655,-2,303.30267408832225,RANGE,LOW,19,1,0.4418935,0.3561124,0.0,0.0,0.03333333333333333,0.9666666666666667,-1.0413216397879885,-0.07661119751837153
ETH-USD,SHORT,2024-07-03 01:00:00+00:00,2024-07-03 03:00:00+00:00,3387.58544921875,3345.577392578125,14.389925522750422,604.4856114513137,TP,101380.70105684546,302.24640320703753,1.9999761950425712,1,302.24640320703753,BEAR,LOW,1,2,0.38919136,0.39412177,0.0,0.0,0.06666666666666667,0.9333333333333333,-1.3190779764545024,-0.06017219807628427
ETH-USD,SHORT,2024-07-03 03:00:00+00:00,2024-07-05 04:00:00+00:00,3356.522216796875,3305.28271484375,11.852950460647568,607.3333518034145,TP,101988.03440864888,303.66963913932244,1.9999804838071822,2,303.66963913932244,BEAR,LOW,3,2,0.45536745,0.3715682,0.0,0.0,0.06666666666666667,0.9333333333333333,-1.3540420238849018,-0.06879016207610877
BTC-USD,LONG,2024-07-05 04:00:00+00:00,2024-07-05 15:00:00+00:00,53933.0390625,56379.7265625,0.1314134683218205,321.52762456791,TP,102309.56203321679,160.76384513732208,1.999999591284134,3,321.52769027464416,BEAR,HIGH,4,4,0.43856978,0.45887226,0.0,0.0,0.06666666666666667,0.9666666666666667,7.750697837651003,-0.19080486527791019
NG=F,LONG,2024-07-05 15:00:00+00:00,2024-07-07 23:00:00+00:00,2.3480000495910645,2.3067501272474016,3721.3281113779562,-155.36515966531928,SL,102154.19687355147,153.5044956096303,-1.0121212349403808,-1,307.00899121926017,BEAR,HIGH,15,4,0.42657262,0.4314887,0.0,0.0,0.1,0.9333333333333333,1.2154517249765242,-0.19808740744383846
NG=F,LONG,2024-07-07 23:00:00+00:00,2024-07-08 12:00:00+00:00,2.315000057220459,2.385928443499974,8644.219635667572,608.7984395857636,TP,102762.99531313723,306.56027470179674,1.985901272361417,1,306.5602747017984,BEAR,NORMAL,23,6,0.4749172,0.36093155,0.0,0.0,0.1,0.9333333333333333,1.1123752464658834,-0.20935789674423466
NG=F,SHORT,2024-07-08 12:00:00+00:00,2024-07-09 12:00:00+00:00,2.38100004196167,2.4128214631761824,9684.487177218542,-313.0163893014255,SL,102449.9789238358,308.1741457128162,-1.0157126860120242,-1,308.1741457128156,BEAR,NORMAL,12,0,0.4143503,0.51131517,0.0,0.0,0.9333333333333333,0.9333333333333333,-0.24671078382546535,-0.18178695129419908
NG=F,LONG,2024-07-09 19:00:00+00:00,2024-07-10 15:00:00+00:00,2.3499999046325684,2.308428474834987,7393.297230045955,-311.04658538653086,SL,102138.93233844927,307.3499367715079,-1.0120274910541829,-2,307.34993677150743,RANGE,NORMAL,19,1,0.441967,0.38101304,0.0,0.0,0.03333333333333333,1.0,0.29244701509434295,-0.17049066342558783
NG=F,SHORT,2024-07-10 15:00:00+00:00,2024-07-10 17:00:00+00:00,2.303999900817871,2.3359284571238925,9594.22213560528,-311.12677273695294,SL,101827.80556571232,306.3296616691503,-1.015659962674407,-3,306.3296616691515,BEAR,LOW,15,2,0.42273757,0.46719834,0.0,0.0,0.03333333333333333,0.9666666666666667,-0.6636161017805245,-0.1855779766968383
NG=F,SHORT,2024-07-10 17:00:00+00:00,2024-07-11 14:00:00+00:00,2.3380000591278076,2.2634286199297224,8191.827463315921,606.7804498702095,TP,102434.58601558252,305.4381818009356,1.9865900402251244,1,305.438181800934,BEAR,NORMAL,17,2,0.4630171,0.42338562,0.0,0.0,0.03333333333333333,0.9666666666666667,-0.4185413021452514,-0.17355953966757587
NG=F,LONG,2024-07-11 14:00:00+00:00,2024-07-12 10:00:00+00:00,2.2809998989105225,2.257535627910069,13078.787878168092,-313.4236170698643,SL,102121.16239851265,306.88422313078024,-1.0213089935753956,-1,306.88422313078104,BEAR,LOW,14,3,0.46341276,0.46229708,0.0,0.0,0.03333333333333333,0.9,-0.9674604508437115,-0.17920120082659785
NG=F,SHORT,2024-07-12 10:00:00+00:00,2024-07-12 12:00:00+00:00,2.259000062942505,2.2741072348185947,20284.442845838657,-316.58278590572377,SL,101804.57961260693,306.44056448280446,-1.0330968631389805,-2,306.44056448280696,BEAR,LOW,10,4,0.42429447,0.42978516,0.0,0.0,0.03333333333333333,0.8333333333333334,-1.30032067849907,-0.1779475473902491
NG=F,LONG,2024-07-12 12:00:00+00:00,2024-07-12 13:00:00+00:00,2.2809998989105225,2.2637498463903154,17682.538855594423,-313.8659933774031,SL,101490.71361922953,305.02472394960586,-1.02898541899593,-3,305.0247239496047,BEAR,LOW,12,4,0.4348376,0.4514991,0.0,0.0,0.3,0.9333333333333333,-1.2808230522481538,-0.16994178439307417
ETH-USD,SHORT,2024-07-12 13:00:00+00:00,2024-07-14 23:00:00+00:00,3123.65771484375,3158.9914986746653,8.684211008091909,-306.85037660747867,SL,101183.86324262206,306.8460345019746,-1.000014150762975,-4,306.8460345019735,BEAR,NORMAL,13,4,0.39552674,0.49721998,0.0,0.0,0.03333333333333333,1.0,-0.3381881062726343,-0.1105914640567992
NG=F,SHORT,2024-07-14 23:00:00+00:00,2024-07-15 18:00:00+00:00,2.26200008392334,2.1859286512647356,7923.6381485373995,598.800686753342,TP,101782.6639293754,301.38125291380356,1.9868544608001937,1,301.3812529138051,RANGE,NORMAL,23,6,0.41830587,0.38451204,0.0,0.0,0.16666666666666666,0.9333333333333333,0.8859392574832086,-0.17685583666140403
NG=F,SHORT,2024-07-15 18:00:00+00:00,2024-07-16 12:00:00+00:00,2.1630001068115234,2.199857234954834,8299.748925756428,-310.05478417678694,SL,101472.60914519861,305.90490971390875,-1.0135658968885437,-1,305.90490971390875,BEAR,NORMAL,18,0,0.5247951,0.37168226,0.0,0.0,0.03333333333333333,0.9333333333333333,1.0855171873578988,-0.16130278789806152
NG=F,SHORT,2024-07-16 12:00:00+00:00,2024-07-16 14:00:00+00:00,2.196000099182129,2.2151787110737393,15878.4336716078,-312.46553367024836,SL,101160.14361152837,304.52631683444446,-1.0260707084968295,-2,304.52631683444247,BEAR,LOW,12,1,0.40254414,0.4892859,0.0,0.0,0.06666666666666667,0.9333333333333333,-0.28662639062418876,-0.11594197751705093
NG=F,SHORT,2024-07-16 14:00:00+00:00,2024-07-17 13:00:00+00:00,2.2070000171661377,2.159642832619803,12834.117819396912,601.3706271528816,TP,101761.51423868125,303.89384303129003,1.9788838798256347,1,303.89384303128924,BEAR,LOW,14,1,0.4049897,0.48833284,0.0,0.0,0.13333333333333333,0.9333333333333333,-0.39937798699994503,-0.11115586727181259
NG=F,SHORT,2024-07-17 13:00:00+00:00,2024-07-17 17:00:00+00:00,2.0829999446868896,2.030714137213571,11791.143346550503,610.6138792347681,TP,102372.12811791601,308.2547254540217,1.980874351027087,2,308.25472545402243,BEAR,NORMAL,13,2,0.4082582,0.51340276,0.0,0.0,0.03333333333333333,1.0,1.985869873323523,-0.15531229642331534
NG=F,LONG,2024-07-17 17:00:00+00:00,2024-07-18 14:00:00+00:00,2.0290000438690186,2.0999285323279246,8662.09646093765,610.0583606290786,TP,102982.18647854509,307.1947044297737,1.9859012926719937,3,307.19470442977286,BEAR,NORMAL,17,2,0.49375755,0.33878642,0.0,0.0,0.03333333333333333,1.0,1.8170658738956127,-0.17553836969741476
RTY=F,LONG,2024-07-18 14:00:00+00:00,2024-07-18 15:00:00+00:00,2258.699951171875,2242.7356916155136,9.684798372138435,-154.61547736303052,SL,102827.57100118206,154.61063496384446,-1.0000313199618331,-1,309.2212699276927,BEAR,HIGH,14,3,0.45251474,0.4278813,0.0,0.0,0.06666666666666667,0.9,0.7950090627681451,-0.015817014739923696
BTC-USD,LONG,2024-07-18 15:00:00+00:00,2024-07-19 13:00:00+00:00,63526.14453125,64770.164341517855,0.495821930482088,616.8120559740036,TP,103444.38305715607,308.40615194248437,1.9999991961542802,1,308.4061519424849,BEAR,LOW,15,3,0.45464256,0.3995408,0.0,0.0,0.03333333333333333,0.9,-0.7483550359309402,-0.035412700858649004
GC=F,LONG,2024-07-19 13:00:00+00:00,2024-07-21 23:00:00+00:00,2405.800048828125,2413.300048828125,25.334866411507377,189.99883065309956,TimeExit,103634.38188780917,311.07556924250235,0.6107803036920071,1,311.0755692425007,BEAR,NORMAL,13,4,0.42690316,0.33153284,0.0,0.0,0.03333333333333333,0.8,-0.9322688480121231,-0.03292193751307093
CL=F,SHORT,2024-07-22 18:00:00+00:00,2024-07-23 13:00:00+00:00,78.37999725341797,77.29571369716099,286.7360146424127,310.75977765610685,TP,103945.14166546527,155.45157283171199,1.9990777320248003,2,310.9031456634275,BEAR,HIGH,18,0,0.39267725,0.4758665,0.0,0.0,0.03333333333333333,0.9333333333333333,3.3966445481341347,-0.06478941013426864
NG=F,SHORT,2024-07-23 13:00:00+00:00,2024-07-23 19:00:00+00:00,2.197000026702881,2.220571458339691,13220.848270477087,-318.2447453234309,SL,103626.89692014184,311.63432118819236,-1.0212121184535594,-1,311.63432118819236,RANGE,LOW,13,1,0.43918803,0.4914721,0.0,0.0,0.1,0.9666666666666667,-0.6088822359046414,-0.063113006439945
BTC-USD,LONG,2024-07-23 19:00:00+00:00,2024-07-24 14:00:00+00:00,65560.09375,67074.51199776786,0.4108792324864394,622.2428018666985,TP,104249.13972200853,311.1215036531574,1.999999339680434,1,311.1215036531578,BEAR,NORMAL,19,1,0.46160716,0.40849903,0.0,0.0,0.03333333333333333,0.9666666666666667,0.029601875406087667,-0.039231631872073014
NG=F,SHORT,2024-07-24 14:00:00+00:00,2024-07-25 12:00:00+00:00,2.1540000438690186,2.0972143581935336,11007.559994768802,619.5680619195992,TP,104868.70778392814,312.53592095849183,1.9823899282344721,2,312.53592095849115,BEAR,NORMAL,14,2,0.4660732,0.42947918,0.0,0.0,0.1,1.0,1.1196992958897958,-0.0814498858895143
NZDJPY=X,LONG,2024-07-25 12:00:00+00:00,2024-07-26 19:00:00+00:00,90.46499633789062,90.53299713134766,298.09156574418034,20.12141721058097,TimeExit,104888.82920113872,157.23230001843575,0.12797254258966956,3,314.46460003686786,BEAR,HIGH,12,3,0.45749354,0.3180714,0.0,0.0,0.3333333333333333,0.6666666666666666,2.788141506578205,-0.06430362342188312
NG=F,LONG,2024-07-26 19:00:00+00:00,2024-07-28 23:00:00+00:00,1.996000051498413,2.049999952316284,9757.110422195046,522.0044398564514,TimeExit,105410.83364099517,314.6669347407651,1.6589110015213357,4,314.6669347407648,BEAR,NORMAL,19,4,0.43870246,0.39737856,0.0,0.0,0.03333333333333333,1.0,-0.2624264079715816,-0.1183745117895042
NG=F,SHORT,2024-07-28 23:00:00+00:00,2024-07-29 10:00:00+00:00,2.049999952316284,1.975428513118199,8481.722761138262,628.2534117966678,TP,106039.08705279185,316.2471365886204,1.9865900402251246,5,316.2471365886188,BEAR,NORMAL,23,6,0.41953817,0.41908473,0.0,0.0,0.3333333333333333,1.0,1.1784034589007146,-0.09452296484884426
CL=F,LONG,2024-07-29 10:00:00+00:00,2024-07-29 14:00:00+00:00,76.73999786376953,76.18821198599679,288.85934577685856,-159.5329373352329,SL,105879.55411545662,159.38850766234447,-1.0009061485988338,-1,318.77701532468666,BEAR,HIGH,10,0,0.46094164,0.36326507,0.0,0.0,0.06666666666666667,0.9333333333333333,2.0617986864282596,-0.084357474057691
NG=F,LONG,2024-07-29 14:00:00+00:00,2024-07-29 18:00:00+00:00,1.937000036239624,1.901428656918662,4461.545679298082,-160.93410655576017,SL,105718.62000890085,158.70333371611113,-1.0140562443611894,-2,317.4066674322231,BEAR,HIGH,14,0,0.4897817,0.40436783,0.0,0.0,0.03333333333333333,1.0,4.2475346602737165,-0.14443458990318347
NG=F,SHORT,2024-07-29 18:00:00+00:00,2024-07-30 07:00:00+00:00,1.8600000143051147,1.9096071124076843,3191.1566803024375,-159.8996008405845,SL,105558.72040806027,158.3040225004333,-1.010079202757762,-3,316.6080450008666,BEAR,HIGH,18,0,0.4984027,0.39815447,0.0,0.0,0.03333333333333333,1.0,4.8048581665257215,-0.1784452012151766
CL=F,LONG,2024-07-30 07:00:00+00:00,2024-07-30 13:00:00+00:00,75.83000183105469,75.00607218061175,191.35573412378332,-157.75934099392182,SL,105400.96106706634,157.66366312685994,-1.0006068479265569,-4,315.3273262537223,BEAR,HIGH,7,1,0.44400173,0.4028665,0.0,0.0,0.03333333333333333,0.8666666666666667,0.8187540267981628,-0.09521531989020804
NG=F,SHORT,2024-07-30 13:00:00+00:00,2024-07-30 16:00:00+00:00,2.0439999103546143,2.1199641823768616,2080.6349032595926,-159.0942332218237,SL,105241.86683384451,158.05391577019392,-1.0065820416189015,-5,316.10783154038785,BEAR,HIGH,13,1,0.47330052,0.44030288,0.0,0.0,0.7333333333333333,1.0,4.674784322151091,-0.09717316013304267
