Date,Actual,Forecast,Previous
2014-03-15,1.12,1.56,1.56
2014-04-15,1.61,1.12,1.12
2014-05-15,2.02,1.43,1.61
2014-06-15,2.17,1.58,2.02
2014-07-15,2.06,1.93,2.17
2014-08-15,1.97,2.08,2.06
2014-09-15,1.72,2.07,1.97
2014-10-15,1.68,1.92,1.72
2014-11-15,1.61,1.79,1.68
2014-12-15,1.23,1.67,1.61
2015-01-15,0.65,1.51,1.23
2015-02-15,-0.23,1.16,0.65
2015-03-15,-0.09,0.55,-0.23
2015-04-15,-0.02,0.11,-0.09
2015-05-15,-0.1,-0.11,-0.02
2015-06-15,0.04,-0.07,-0.1
2015-07-15,0.18,-0.03,0.04
2015-08-15,0.23,0.04,0.18
2015-09-15,0.24,0.15,0.23
2015-10-15,0.01,0.22,0.24
2015-11-15,0.13,0.16,0.01
2015-12-15,0.44,0.13,0.13
2016-01-15,0.64,0.19,0.44
2016-02-15,1.24,0.4,0.64
2016-03-15,0.85,0.77,1.24
2016-04-15,0.89,0.91,0.85
2016-05-15,1.17,0.99,0.89
2016-06-15,1.08,0.97,1.17
2016-07-15,1.08,1.05,1.08
2016-08-15,0.87,1.11,1.08
2016-09-15,1.06,1.01,0.87
2016-10-15,1.55,1.0,1.06
2016-11-15,1.69,1.16,1.55
2016-12-15,1.68,1.43,1.69
2017-01-15,2.05,1.64,1.68
2017-02-15,2.51,1.81,2.05
2017-03-15,2.81,2.08,2.51
2017-04-15,2.44,2.46,2.81
2017-05-15,2.18,2.59,2.44
2017-06-15,1.86,2.48,2.18
2017-07-15,1.64,2.16,1.86
2017-08-15,1.73,1.89,1.64
2017-09-15,1.93,1.74,1.73
2017-10-15,2.18,1.76,1.93
2017-11-15,2.02,1.94,2.18
2017-12-15,2.17,2.04,2.02
2018-01-15,2.13,2.12,2.17
2018-02-15,2.15,2.11,2.13
2018-03-15,2.26,2.15,2.15
2018-04-15,2.33,2.18,2.26
2018-05-15,2.47,2.25,2.33
2018-06-15,2.78,2.36,2.47
2018-07-15,2.81,2.53,2.78
2018-08-15,2.85,2.69,2.81
2018-09-15,2.64,2.81,2.85
2018-10-15,2.33,2.77,2.64
2018-11-15,2.49,2.61,2.33
2018-12-15,2.15,2.49,2.49
2019-01-15,2.0,2.32,2.15
2019-02-15,1.49,2.21,2.0
2019-03-15,1.52,1.88,1.49
2019-04-15,1.88,1.67,1.52
2019-05-15,2.0,1.63,1.88
2019-06-15,1.8,1.8,2.0
2019-07-15,1.67,1.89,1.8
2019-08-15,1.83,1.82,1.67
2019-09-15,1.74,1.76,1.83
2019-10-15,1.68,1.75,1.74
2019-11-15,1.73,1.75,1.68
2019-12-15,2.09,1.72,1.73
2020-01-15,2.32,1.84,2.09
2020-02-15,2.6,2.05,2.32
2020-03-15,2.34,2.34,2.6
2020-04-15,1.49,2.42,2.34
2020-05-15,0.31,2.15,1.49
2020-06-15,0.2,1.38,0.31
2020-07-15,0.72,0.67,0.2
2020-08-15,1.0,0.41,0.72
2020-09-15,1.28,0.64,1.0
2020-10-15,1.39,1.0,1.28
2020-11-15,1.23,1.22,1.39
2020-12-15,1.18,1.3,1.23
2021-01-15,1.32,1.27,1.18
2021-02-15,1.36,1.24,1.32
2021-03-15,1.67,1.28,1.36
2021-04-15,2.62,1.45,1.67
2021-05-15,4.14,1.88,2.62
2021-06-15,4.93,2.81,4.14
2021-07-15,5.32,3.9,4.93
2021-08-15,5.27,4.79,5.32
2021-09-15,5.18,5.17,5.27
2021-10-15,5.36,5.26,5.18
2021-11-15,6.23,5.27,5.36
2021-12-15,6.87,5.59,6.23
2022-01-15,7.16,6.15,6.87
2022-02-15,7.58,6.75,7.16
2022-03-15,7.95,7.2,7.58
2022-04-15,8.54,7.56,7.95
2022-05-15,8.24,8.02,8.54
2022-06-15,8.53,8.24,8.24
2022-07-15,9.0,8.44,8.53
2022-08-15,8.45,8.59,9.0
2022-09-15,8.22,8.66,8.45
2022-10-15,8.21,8.55,8.22
2022-11-15,7.76,8.29,8.21
2022-12-15,7.13,8.06,7.76
2023-01-15,6.41,7.7,7.13
2023-02-15,6.34,7.1,6.41
2023-03-15,5.96,6.63,6.34
2023-04-15,4.93,6.24,5.96
2023-05-15,4.95,5.74,4.93
2023-06-15,4.13,5.28,4.95
2023-07-15,3.06,4.67,4.13
2023-08-15,3.28,4.04,3.06
2023-09-15,3.72,3.49,3.28
2023-10-15,3.7,3.35,3.72
2023-11-15,3.25,3.56,3.7
2023-12-15,3.14,3.55,3.25
2024-01-15,3.32,3.36,3.14
2024-02-15,3.11,3.24,3.32
2024-03-15,3.17,3.19,3.11
2024-04-15,3.47,3.2,3.17
2024-05-15,3.35,3.25,3.47
2024-06-15,3.24,3.33,3.35
2024-07-15,2.97,3.35,3.24
2024-08-15,2.94,3.19,2.97
2024-09-15,2.61,3.05,2.94
2024-10-15,2.43,2.84,2.61
2024-11-15,2.57,2.66,2.43
2024-12-15,2.71,2.54,2.57
2025-01-15,2.87,2.57,2.71
